mouse,pair_type,pair_key,session_a_label,session_b_label,ks_dirs,raw_waveform_dirs,label_paths,output_dir,nonfinite_waveform_values,n_session1,n_session2,tracked_fraction_of_smaller_session,reciprocal_pair_count,gap_days
AL032,acute,AL032_2019-11-21_to_2019-11-22,2019-11-21,2019-11-22,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-21/Probe0/1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-22/Probe0/1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-21/Probe0/1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-22/Probe0/1/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-21/Probe0/1/cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/2019-11-22/Probe0/1/cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/AL032_2019-11-21_to_2019-11-22,0,278,270,0.4481481481481481,121,1
AL032,chronic,AL032_Chronic_1_to_Chronic_2,Chronic_1,Chronic_2,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1/1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AL032/Chronic/Probe0/IMRO_1/2/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/AL032_chronic_1_cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/AL032_chronic_2_cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/AL032_Chronic_1_to_Chronic_2,314880,318,318,0.6540880503144654,208,0
AV008,acute,AV008_2022-03-12_to_2022-03-13,2022-03-12,2022-03-13,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-12/Probe0/IMRO_1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-13/Probe0/IMRO_1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-12/Probe0/IMRO_1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-13/Probe0/IMRO_1/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-12/Probe0/IMRO_1/cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/2022-03-13/Probe0/IMRO_1/cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/AV008_2022-03-12_to_2022-03-13,0,64,48,0.2291666666666666,11,1
AV008,chronic,AV008_Chronic_1_to_Chronic_2,Chronic_1,Chronic_2,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1/1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/AV008/Chronic/Probe0/IMRO_1/2/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/AV008_chronic_1_cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/AV008_chronic_2_cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/AV008_Chronic_1_to_Chronic_2,251904,80,77,0.4285714285714285,33,0
CB016,acute,CB016_2021-09-28_to_2021-09-29,2021-09-28,2021-09-29,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-28/Probe0/1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-29/Probe0/1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-28/Probe0/1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-29/Probe0/1/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-28/Probe0/1/cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/2021-09-29/Probe0/1/cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/CB016_2021-09-28_to_2021-09-29,0,355,308,0.2532467532467532,78,1
CB016,chronic,CB016_Chronic_1_to_Chronic_2,Chronic_1,Chronic_2,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/Chronic/Probe0/IMRO_1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/Chronic/Probe0/IMRO_1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/Chronic/Probe0/IMRO_1/1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/CB016/Chronic/Probe0/IMRO_1/2/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/CB016_chronic_1_cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/CB016_chronic_2_cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/CB016_Chronic_1_to_Chronic_2,1070592,270,271,0.1592592592592592,43,0
EB019,acute,EB019_2022-07-21_to_2022-07-22,2022-07-21,2022-07-22,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/2022-07-21/Probe0/1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/2022-07-22/Probe0/1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/2022-07-21/Probe0/1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/2022-07-22/Probe0/1/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/2022-07-21/Probe0/1/cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/2022-07-22/Probe0/1/cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/EB019_2022-07-21_to_2022-07-22,0,40,46,0.625,25,1
EB019,chronic,EB019_Chronic_1_to_Chronic_2,Chronic_1,Chronic_2,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/Chronic/Probe0/IMRO_1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/Chronic/Probe0/IMRO_1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/Chronic/Probe0/IMRO_1/1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/EB019/Chronic/Probe0/IMRO_1/2/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/EB019_chronic_1_cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/EB019_chronic_2_cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/EB019_Chronic_1_to_Chronic_2,0,76,76,0.5921052631578947,45,0
JF067,acute,JF067_2022-02-14_to_2022-02-15,2022-02-14,2022-02-15,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/2022-02-14/Probe0/4', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/2022-02-15/Probe0/5']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/2022-02-14/Probe0/4/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/2022-02-15/Probe0/5/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/2022-02-14/Probe0/4/cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/2022-02-15/Probe0/5/cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/JF067_2022-02-14_to_2022-02-15,0,100,75,0.48,36,1
JF067,chronic,JF067_Chronic_1_to_Chronic_2,Chronic_1,Chronic_2,"['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/Chronic/Probe0/IMRO_1', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/Chronic/Probe0/IMRO_1']","['/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/Chronic/Probe0/IMRO_1/1/RawWaveforms', '/Users/akshat/Downloads/UnitMatch-main/UnitMatchData/JF067/Chronic/Probe0/IMRO_1/2/RawWaveforms']","['/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/JF067_chronic_1_cluster_group.tsv', '/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/generated_labels/JF067_chronic_2_cluster_group.tsv']",/Users/akshat/Downloads/UnitMatch-main/local_runs/full_data_classic/pairs/JF067_Chronic_1_to_Chronic_2,62976,90,87,0.4827586206896552,42,0
