mouse,ref_recording,target_recording,gap,p_track
AL032,1,2,1,0.4892086330935252
AL032,1,3,2,0.6546762589928058
AL032,1,4,3,0.5179856115107914
AL032,2,1,-1,0.5185185185185185
AL032,2,3,1,0.5333333333333333
AL032,2,4,2,0.6777777777777778
AL032,3,1,-2,0.60062893081761
AL032,3,2,-1,0.46226415094339623
AL032,3,4,1,0.60062893081761
AL032,4,1,-3,0.4559748427672956
AL032,4,2,-2,0.5723270440251572
AL032,4,3,-1,0.5849056603773585
AV008,1,2,1,0.171875
AV008,1,3,2,0.5625
AV008,1,4,3,0.1875
AV008,2,1,-1,0.22916666666666666
AV008,2,3,1,0.3541666666666667
AV008,2,4,2,0.7291666666666666
AV008,3,1,-2,0.45
AV008,3,2,-1,0.225
AV008,3,4,1,0.3375
AV008,4,1,-3,0.16883116883116883
AV008,4,2,-2,0.4805194805194805
AV008,4,3,-1,0.35064935064935066
CB016,1,2,1,0.27323943661971833
CB016,1,3,2,0.3971830985915493
CB016,1,4,3,0.19436619718309858
CB016,2,1,-1,0.2987012987012987
CB016,2,3,1,0.16558441558441558
CB016,2,4,2,0.41233766233766234
CB016,3,1,-2,0.5518518518518518
CB016,3,2,-1,0.1962962962962963
CB016,3,4,1,0.17777777777777778
CB016,4,1,-3,0.23616236162361623
CB016,4,2,-2,0.47232472324723246
CB016,4,3,-1,0.16974169741697417
EB019,1,2,1,0.55
EB019,1,3,2,0.875
EB019,1,4,3,0.625
EB019,2,1,-1,0.4782608695652174
EB019,2,3,1,0.4782608695652174
EB019,2,4,2,0.6956521739130435
EB019,3,1,-2,0.5526315789473685
EB019,3,2,-1,0.3157894736842105
EB019,3,4,1,0.6052631578947368
EB019,4,1,-3,0.3684210526315789
EB019,4,2,-2,0.47368421052631576
EB019,4,3,-1,0.5789473684210527
JF067,1,2,1,0.34
JF067,1,3,2,0.53
JF067,1,4,3,0.35
JF067,2,1,-1,0.48
JF067,2,3,1,0.3466666666666667
JF067,2,4,2,0.5333333333333333
JF067,3,1,-2,0.6
JF067,3,2,-1,0.3111111111111111
JF067,3,4,1,0.45555555555555555
JF067,4,1,-3,0.41379310344827586
JF067,4,2,-2,0.4482758620689655
JF067,4,3,-1,0.4367816091954023
